,Okres
1361,Znojmo
1362,Plzeň-město
1363,Plzeň-město
1364,Plzeň-město
1365,Plzeň-město
1366,Plzeň-město
1367,Plzeň-město
1368,Plzeň-město
1369,Hradec Králové
1370,NA
1371,NA
1372,Plzeň-město
1373,NA
1374,NA
1375,"Havlíčkův Brod
         Benešov
 Ústí nad Orlicí
         Příbram
         Chrudim
    Karlovy Vary"
1376,Pardubice
1377,NA
1378,Mladá Boleslav
1379,NA
1380,NA
1381,Cheb
1382,"Chrudim
 Hodonín
 Blansko"
1383,"Chrudim
 Hodonín
 Blansko"
1384,Chrudim
1385,Chrudim
1386,Cheb
1387,Hlavní město Praha
1388,Hlavní město Praha
1389,Hlavní město Praha
1390,Hlavní město Praha
1391,NA
1392,NA
1393,NA
1394,NA
1395,NA
1396,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
1397,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
1398,Náchod
1399,Most
1400,NA
1401,NA
1402,NA
1403,NA
1404,NA
1405,NA
1406,NA
1407,NA
1408,NA
1409,NA
1410,"Kladno
   Pardubice
 Plzeň-sever
     Olomouc
      Náchod
     Klatovy"
1411,"Kladno
   Pardubice
 Plzeň-sever
     Olomouc
      Náchod
     Klatovy"
1412,Kladno
1413,Semily
1414,Semily
1415,NA
1416,NA
1417,NA
1418,NA
1419,Most
1420,Pardubice
1421,NA
1422,Hlavní město Praha
1423,Hlavní město Praha
1424,Hlavní město Praha
1425,Hlavní město Praha
1426,Hlavní město Praha
1427,Hlavní město Praha
1428,Hlavní město Praha
1429,Hlavní město Praha
1430,Hlavní město Praha
1431,Hlavní město Praha
1432,NA
1433,NA
1434,NA
1435,NA
1436,NA
1437,NA
1438,NA
1439,NA
1440,NA
1441,Plzeň-město
1442,Plzeň-město
1443,Plzeň-město
1444,Brno-město
1445,Brno-město
1446,Brno-město
1447,Brno-město
1448,Brno-město
1449,Brno-město
1450,Brno-město
1451,NA
1452,NA
1453,NA
1454,NA
1455,NA
1456,"Blansko
 Benešov"
1457,Třebíč
1458,Třebíč
1459,Třebíč
1460,Třebíč
1461,Třebíč
1462,Třebíč
1463,Třebíč
1464,Třebíč
1465,Třebíč
1466,Třebíč
1467,Třebíč
1468,Třebíč
1469,Třebíč
1470,Třebíč
1471,Třebíč
1472,NA
1473,Jičín
1474,NA
1475,NA
1476,NA
1477,NA
1478,NA
1479,NA
1480,NA
1481,"Brno-venkov
      Beroun"
1482,NA
1483,NA
1484,České Budějovice
1485,České Budějovice
1486,Znojmo
1487,Chomutov
1488,Chomutov
1489,Chomutov
1490,Hlavní město Praha
1491,České Budějovice
1492,České Budějovice
1493,Pardubice
1494,Pardubice
1495,Frýdek-Místek
1496,Frýdek-Místek
1497,Hlavní město Praha
1498,Hlavní město Praha
1499,Hlavní město Praha
1500,Hlavní město Praha
1501,Hlavní město Praha
1502,Hlavní město Praha
1503,Hlavní město Praha
1504,Hlavní město Praha
1505,Hlavní město Praha
1506,NA
1507,Sokolov
1508,Sokolov
1509,Sokolov
1510,"Blansko
 Benešov"
1511,"Blansko
 Benešov"
1512,"Blansko
 Benešov"
1513,"Blansko
 Benešov"
1514,"Blansko
 Benešov"
1515,"Blansko
 Benešov"
1516,Hlavní město Praha
1517,Hlavní město Praha
1518,Hlavní město Praha
1519,Hlavní město Praha
1520,Hlavní město Praha
1521,Hlavní město Praha
1522,Hlavní město Praha
1523,Kladno
1524,Kladno
1525,"České Budějovice
      Brno-venkov"
1526,Brno-město
1527,Brno-město
1528,Brno-město
1529,Brno-město
1530,Brno-město
1531,NA
1532,Náchod
1533,NA
1534,Strakonice
1535,Strakonice
1536,Svitavy
1537,Svitavy
1538,Svitavy
1539,Svitavy
1540,Svitavy
1541,Kladno
1542,Karlovy Vary
1543,NA
1544,NA
1545,Karviná
1546,Svitavy
1547,Česká Lípa
1548,Česká Lípa
1549,NA
1550,NA
1551,NA
1552,NA
1553,NA
1554,NA
1555,Hradec Králové
1556,Hradec Králové
1557,NA
1558,NA
1559,NA
1560,NA
1561,NA
1562,Plzeň-město
1563,Plzeň-město
1564,Plzeň-město
1565,Plzeň-město
1566,Karlovy Vary
1567,Karlovy Vary
1568,Karlovy Vary
1569,Hlavní město Praha
1570,Liberec
1571,Liberec
1572,Liberec
1573,Liberec
1574,"Jindřichův Hradec
        Česká Lípa"
1575,"Jindřichův Hradec
        Česká Lípa"
1576,"Jindřichův Hradec
        Česká Lípa"
1577,"Jindřichův Hradec
        Česká Lípa"
1578,"Jindřichův Hradec
        Česká Lípa"
1579,"Jindřichův Hradec
        Česká Lípa"
1580,"Jindřichův Hradec
        Česká Lípa"
1581,"Jindřichův Hradec
        Česká Lípa"
1582,Hlavní město Praha
1583,Hlavní město Praha
1584,Hlavní město Praha
1585,Pelhřimov
1586,Brno-město
1587,Brno-město
1588,Brno-město
1589,NA
1590,NA
1591,NA
1592,NA
1593,NA
1594,Plzeň-město
1595,Plzeň-město
1596,NA
1597,NA
1598,NA
1599,NA
1600,NA
1601,"Teplice
 Břeclav"
1602,"Teplice
 Břeclav"
1603,Žďár nad Sázavou
1604,Žďár nad Sázavou
1605,Žďár nad Sázavou
1606,Náchod
1607,Náchod
1608,Louny
1609,Louny
1610,Louny
1611,Louny
1612,Louny
1613,Louny
1614,Louny
1615,Frýdek-Místek
1616,Hlavní město Praha
1617,Hlavní město Praha
1618,Hlavní město Praha
1619,Hlavní město Praha
1620,"Rychnov nad Kněžnou
          Strakonice"
1621,Most
1622,Náchod
1623,Plzeň-město
1624,Plzeň-město
1625,"Blansko
 Benešov"
1626,"Blansko
 Benešov"
1627,Hlavní město Praha
1628,Cheb
1629,Cheb
1630,Hlavní město Praha
1631,Třebíč
1632,Cheb
1633,Cheb
1634,Cheb
1635,Cheb
1636,Cheb
1637,Kutná Hora
1638,Kutná Hora
1639,Kutná Hora
1640,Kladno
1641,Kladno
1642,Kladno
1643,Kladno
1644,Chrudim
1645,Chrudim
1646,Chrudim
1647,Chrudim
1648,NA
1649,NA
1650,NA
1651,NA
1652,Ostrava-město
1653,Plzeň-město
1654,Plzeň-město
1655,Plzeň-město
1656,Plzeň-město
1657,České Budějovice
1658,České Budějovice
1659,České Budějovice
1660,České Budějovice
1661,Vsetín
1662,Hlavní město Praha
1663,NA
1664,Tábor
1665,Tábor
1666,Tábor
1667,Tábor
1668,Tábor
1669,Tábor
1670,Tábor
1671,Tábor
1672,Tábor
1673,Tábor
1674,Tábor
1675,Hradec Králové
1676,Hradec Králové
1677,Hradec Králové
1678,Hlavní město Praha
1679,Hlavní město Praha
1680,Hlavní město Praha
1681,Hlavní město Praha
1682,Brno-město
1683,Brno-město
1684,Brno-město
1685,Hlavní město Praha
1686,NA
1687,NA
1688,NA
1689,NA
1690,NA
1691,NA
1692,Pelhřimov
1693,Pelhřimov
1694,Jihlava
1695,Jičín
1696,Jičín
1697,Jičín
1698,NA
1699,NA
1700,NA
1701,Plzeň-město
1702,Plzeň-město
1703,Plzeň-město
1704,Plzeň-město
1705,Hradec Králové
1706,NA
1707,Plzeň-město
1708,Svitavy
1709,NA
1710,"Zlín
 Brno-venkov"
1711,"Zlín
 Brno-venkov"
1712,"Zlín
 Brno-venkov"
1713,"Zlín
 Brno-venkov"
1714,"Zlín
 Brno-venkov"
1715,Pardubice
1716,"Chrudim
 Hodonín
 Blansko"
1717,"Chrudim
 Hodonín
 Blansko"
1718,NA
1719,Mladá Boleslav
1720,České Budějovice
1721,NA
1722,NA
1723,NA
1724,Cheb
1725,Cheb
1726,Chomutov
1727,Chomutov
1728,Praha-východ
1729,"Jičín
 Mladá Boleslav"
1730,Chrudim
1731,Hlavní město Praha
1732,Hlavní město Praha
1733,Hlavní město Praha
1734,NA
1735,NA
1736,NA
1737,NA
1738,NA
1739,NA
1740,NA
1741,NA
1742,NA
1743,NA
1744,NA
1745,Náchod
1746,NA
1747,NA
1748,NA
1749,NA
1750,NA
1751,NA
1752,NA
1753,Semily
1754,NA
1755,NA
1756,NA
1757,NA
1758,NA
1759,Chomutov
1760,NA
1761,Svitavy
1762,Hlavní město Praha
1763,Hlavní město Praha
1764,Hlavní město Praha
1765,Hlavní město Praha
1766,Hlavní město Praha
1767,Hlavní město Praha
1768,NA
1769,NA
1770,NA
1771,NA
1772,NA
1773,NA
1774,NA
1775,NA
1776,NA
1777,NA
1778,NA
1779,NA
1780,NA
1781,NA
1782,NA
1783,Plzeň-město
1784,Plzeň-město
1785,Plzeň-město
1786,Plzeň-město
1787,Plzeň-město
1788,Brno-město
1789,Brno-město
1790,Brno-město
1791,Brno-město
1792,Brno-město
1793,Brno-město
1794,Brno-město
1795,Brno-město
1796,Brno-město
1797,Brno-město
1798,Brno-město
1799,Brno-město
1800,NA
1801,NA
1802,NA
1803,NA
1804,NA
1805,NA
1806,NA
1807,"Blansko
 Benešov"
1808,Nový Jičín
1809,Třebíč
1810,Litoměřice
1811,Jičín
1812,NA
1813,NA
1814,"Brno-venkov
      Beroun"
1815,NA
1816,Chomutov
1817,Chomutov
1818,Chomutov
1819,Chomutov
1820,"Brno-venkov
 Praha-východ"
1821,NA
1822,NA
1823,NA
1824,NA
1825,České Budějovice
1826,Frýdek-Místek
1827,Hlavní město Praha
1828,NA
1829,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
1830,NA
1831,Hlavní město Praha
1832,Jičín
1833,Brno-město
1834,Brno-město
1835,Brno-město
1836,Brno-město
1837,NA
1838,NA
1839,Náchod
1840,Náchod
1841,Náchod
1842,Náchod
1843,NA
1844,NA
1845,NA
1846,Strakonice
1847,Strakonice
1848,Strakonice
1849,Strakonice
1850,Svitavy
1851,Svitavy
1852,České Budějovice
1853,České Budějovice
1854,České Budějovice
1855,České Budějovice
1856,Sokolov
1857,Karlovy Vary
1858,Karlovy Vary
1859,Karlovy Vary
1860,Karlovy Vary
1861,Karlovy Vary
1862,Karlovy Vary
1863,Karlovy Vary
1864,Karlovy Vary
1865,NA
1866,NA
1867,NA
1868,NA
1869,NA
1870,NA
1871,NA
1872,NA
1873,Karviná
1874,Svitavy
1875,Ústí nad Orlicí
1876,Ústí nad Orlicí
1877,Ústí nad Orlicí
1878,NA
1879,NA
1880,Plzeň-město
1881,Plzeň-město
1882,Plzeň-město
1883,Hlavní město Praha
1884,Pelhřimov
1885,Brno-město
1886,NA
1887,NA
1888,NA
1889,NA
1890,Hlavní město Praha
1891,Hlavní město Praha
1892,NA
1893,NA
1894,"Teplice
 Břeclav"
1895,"Teplice
 Břeclav"
1896,"Teplice
 Břeclav"
1897,"Teplice
 Břeclav"
1898,Mladá Boleslav
1899,Mladá Boleslav
1900,Mladá Boleslav
1901,Žďár nad Sázavou
1902,Žďár nad Sázavou
1903,Žďár nad Sázavou
1904,Žďár nad Sázavou
1905,Žďár nad Sázavou
1906,Žďár nad Sázavou
1907,Žďár nad Sázavou
1908,Louny
1909,Louny
1910,Rakovník
1911,České Budějovice
1912,Frýdek-Místek
1913,Frýdek-Místek
1914,Frýdek-Místek
1915,Hlavní město Praha
1916,Hlavní město Praha
1917,"Rychnov nad Kněžnou
          Strakonice"
1918,"Rychnov nad Kněžnou
          Strakonice"
1919,"Rychnov nad Kněžnou
          Strakonice"
1920,Uherské Hradiště
1921,Uherské Hradiště
1922,Uherské Hradiště
1923,Uherské Hradiště
1924,Uherské Hradiště
1925,Uherské Hradiště
1926,NA
1927,Žďár nad Sázavou
1928,Žďár nad Sázavou
1929,Cheb
1930,Cheb
1931,Třebíč
1932,Třebíč
1933,Rychnov nad Kněžnou
1934,Rychnov nad Kněžnou
1935,Rychnov nad Kněžnou
1936,Rychnov nad Kněžnou
1937,Kladno
1938,NA
1939,NA
1940,NA
1941,Plzeň-město
1942,Plzeň-město
1943,Plzeň-město
1944,České Budějovice
1945,České Budějovice
1946,Hlavní město Praha
1947,NA
1948,NA
1949,Tábor
1950,Tábor
1951,Hlavní město Praha
1952,Hlavní město Praha
1953,Hlavní město Praha
1954,Hlavní město Praha
1955,Mělník
1956,Tábor
1957,Tábor
1958,Tábor
1959,Tábor
1960,NA
1961,NA
1962,NA
1963,Chrudim
1964,Chrudim
1965,Chrudim
1966,Most
1967,Most
1968,Most
1969,Frýdek-Místek
1970,Frýdek-Místek
1971,Frýdek-Místek
1972,Tábor
1973,Tábor
1974,Tábor
1975,"Plzeň-jih
 Pelhřimov"
1976,NA
1977,NA
1978,Kladno
1979,Kladno
1980,Kladno
1981,Teplice
1982,Teplice
1983,Pelhřimov
1984,Pelhřimov
1985,Pelhřimov
1986,Pelhřimov
1987,Pelhřimov
1988,Kutná Hora
1989,Jihlava
1990,Jihlava
1991,Ústí nad Orlicí
1992,Ústí nad Orlicí
1993,Znojmo
1994,Plzeň-město
1995,Plzeň-město
1996,Plzeň-město
1997,NA
1998,NA
1999,Hlavní město Praha
2000,NA
2001,NA
2002,NA
2003,"Havlíčkův Brod
         Benešov
 Ústí nad Orlicí
         Příbram
         Chrudim
    Karlovy Vary"
2004,"Havlíčkův Brod
         Benešov
 Ústí nad Orlicí
         Příbram
         Chrudim
    Karlovy Vary"
2005,"Havlíčkův Brod
         Benešov
 Ústí nad Orlicí
         Příbram
         Chrudim
    Karlovy Vary"
2006,"Havlíčkův Brod
         Benešov
 Ústí nad Orlicí
         Příbram
         Chrudim
    Karlovy Vary"
2007,"Havlíčkův Brod
         Benešov
 Ústí nad Orlicí
         Příbram
         Chrudim
    Karlovy Vary"
2008,"Zlín
 Brno-venkov"
2009,"Zlín
 Brno-venkov"
2010,"Zlín
 Brno-venkov"
2011,"Zlín
 Brno-venkov"
2012,"Zlín
 Brno-venkov"
2013,"Zlín
 Brno-venkov"
2014,"Chrudim
 Hodonín
 Blansko"
2015,"Chrudim
 Hodonín
 Blansko"
2016,NA
2017,Mladá Boleslav
2018,Mladá Boleslav
2019,České Budějovice
2020,"Chrudim
 Hodonín
 Blansko"
2021,"Chrudim
 Hodonín
 Blansko"
2022,"Chrudim
 Hodonín
 Blansko"
2023,"Chrudim
 Hodonín
 Blansko"
2024,"Chrudim
 Hodonín
 Blansko"
2025,Chrudim
2026,Cheb
2027,Cheb
2028,Cheb
2029,Hlavní město Praha
2030,Hlavní město Praha
2031,Hlavní město Praha
2032,Hlavní město Praha
2033,Hlavní město Praha
2034,NA
2035,NA
2036,NA
2037,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
2038,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
2039,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
2040,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
2041,Trutnov
2042,Náchod
2043,Náchod
2044,Náchod
2045,Náchod
2046,Most
2047,Most
2048,NA
2049,NA
2050,NA
2051,NA
2052,NA
2053,Ústí nad Orlicí
2054,Semily
2055,NA
2056,NA
2057,NA
2058,NA
2059,NA
2060,NA
2061,Most
2062,NA
2063,NA
2064,NA
2065,Brno-město
2066,Hlavní město Praha
2067,Hlavní město Praha
2068,Hlavní město Praha
2069,Hlavní město Praha
2070,Hlavní město Praha
2071,Hlavní město Praha
2072,NA
2073,NA
2074,NA
2075,NA
2076,Plzeň-město
2077,Plzeň-město
2078,Plzeň-město
2079,Brno-město
2080,Brno-město
2081,Brno-město
2082,Třebíč
2083,Třebíč
2084,Jičín
2085,Jičín
2086,NA
2087,NA
2088,NA
2089,NA
2090,NA
2091,NA
2092,NA
2093,České Budějovice
2094,Znojmo
2095,Znojmo
2096,Znojmo
2097,Znojmo
2098,Chomutov
2099,Chomutov
2100,Chomutov
2101,"Brno-venkov
 Praha-východ"
2102,"Brno-venkov
 Praha-východ"
2103,Pardubice
2104,Pardubice
2105,Hlavní město Praha
2106,Hlavní město Praha
2107,NA
2108,Sokolov
2109,Hlavní město Praha
2110,Hlavní město Praha
2111,Hlavní město Praha
2112,Hlavní město Praha
2113,Hlavní město Praha
2114,Hlavní město Praha
2115,"České Budějovice
      Brno-venkov"
2116,Brno-město
2117,Brno-město
2118,Brno-město
2119,Brno-město
2120,Brno-město
2121,NA
2122,NA
2123,NA
2124,Náchod
2125,Náchod
2126,Náchod
2127,NA
2128,NA
2129,Strakonice
2130,Svitavy
2131,Svitavy
2132,České Budějovice
2133,"Nymburk
      Náchod
 Praha-západ"
2134,Kladno
2135,Svitavy
2136,Česká Lípa
2137,Znojmo
2138,Znojmo
2139,NA
2140,NA
2141,NA
2142,Frýdek-Místek
2143,Hradec Králové
2144,Hradec Králové
2145,Hradec Králové
2146,Hradec Králové
2147,Hradec Králové
2148,Hradec Králové
2149,Hradec Králové
2150,NA
2151,České Budějovice
2152,NA
2153,NA
2154,NA
2155,NA
2156,NA
2157,NA
2158,Písek
2159,NA
2160,NA
2161,NA
2162,NA
2163,NA
2164,NA
2165,Plzeň-město
2166,Plzeň-město
2167,Plzeň-město
2168,Karlovy Vary
2169,Karlovy Vary
2170,Karlovy Vary
2171,Karlovy Vary
2172,Karlovy Vary
2173,Karlovy Vary
2174,Karlovy Vary
2175,Karlovy Vary
2176,Prostějov
2177,"Jindřichův Hradec
        Česká Lípa"
2178,"Jindřichův Hradec
        Česká Lípa"
2179,"Jindřichův Hradec
        Česká Lípa"
2180,"Jindřichův Hradec
        Česká Lípa"
2181,"Jindřichův Hradec
        Česká Lípa"
2182,Hlavní město Praha
2183,Hlavní město Praha
2184,Hlavní město Praha
2185,Hlavní město Praha
2186,Hlavní město Praha
2187,Hlavní město Praha
2188,Hlavní město Praha
2189,Hlavní město Praha
2190,Hlavní město Praha
2191,Hlavní město Praha
2192,Hlavní město Praha
2193,Brno-město
2194,Brno-město
2195,NA
2196,NA
2197,NA
2198,NA
2199,NA
2200,České Budějovice
2201,Hlavní město Praha
2202,Plzeň-město
2203,Plzeň-město
2204,Plzeň-město
2205,Plzeň-město
2206,Hlavní město Praha
2207,NA
2208,NA
2209,NA
2210,"Teplice
 Břeclav"
2211,Mladá Boleslav
2212,Mladá Boleslav
2213,Žďár nad Sázavou
2214,Žďár nad Sázavou
2215,Žďár nad Sázavou
2216,Žďár nad Sázavou
2217,Náchod
2218,Náchod
2219,Náchod
2220,Louny
2221,Louny
2222,Louny
2223,Zlín
2224,Zlín
2225,Frýdek-Místek
2226,Frýdek-Místek
2227,Frýdek-Místek
2228,Frýdek-Místek
2229,Frýdek-Místek
2230,Frýdek-Místek
2231,Hlavní město Praha
2232,Hlavní město Praha
2233,Hlavní město Praha
2234,Hlavní město Praha
2235,Hlavní město Praha
2236,Hlavní město Praha
2237,"Rychnov nad Kněžnou
          Strakonice"
2238,"Rychnov nad Kněžnou
          Strakonice"
2239,Most
2240,Most
2241,Most
2242,Most
2243,Uherské Hradiště
2244,Uherské Hradiště
2245,Uherské Hradiště
2246,Náchod
2247,Plzeň-město
2248,Žďár nad Sázavou
2249,"Blansko
 Benešov"
2250,"Blansko
 Benešov"
2251,"Blansko
 Benešov"
2252,"Blansko
 Benešov"
2253,"Blansko
 Benešov"
2254,"Blansko
 Benešov"
2255,"Blansko
 Benešov"
2256,NA
2257,Cheb
2258,Cheb
2259,Cheb
2260,Cheb
2261,Cheb
2262,Cheb
2263,Cheb
2264,Hlavní město Praha
2265,Hlavní město Praha
2266,Hlavní město Praha
2267,Třebíč
2268,Rychnov nad Kněžnou
2269,Rychnov nad Kněžnou
2270,Rychnov nad Kněžnou
2271,Rychnov nad Kněžnou
2272,Rychnov nad Kněžnou
2273,Rychnov nad Kněžnou
2274,Rychnov nad Kněžnou
2275,Rychnov nad Kněžnou
2276,Rychnov nad Kněžnou
2277,Cheb
2278,Cheb
2279,Cheb
2280,Kutná Hora
2281,Kutná Hora
2282,Kladno
2283,Chrudim
2284,NA
2285,NA
2286,NA
2287,NA
2288,NA
2289,NA
2290,Ostrava-město
2291,Ostrava-město
2292,Ostrava-město
2293,Ostrava-město
2294,Ostrava-město
2295,Ostrava-město
2296,Ostrava-město
2297,Ostrava-město
2298,Plzeň-město
2299,Plzeň-město
2300,České Budějovice
2301,České Budějovice
2302,České Budějovice
2303,České Budějovice
2304,NA
2305,NA
2306,Vsetín
2307,Hlavní město Praha
2308,Hlavní město Praha
2309,Hlavní město Praha
2310,Hlavní město Praha
2311,NA
2312,NA
2313,NA
2314,České Budějovice
2315,České Budějovice
2316,Tábor
2317,Tábor
2318,Tábor
2319,Tábor
2320,Tábor
2321,Tábor
2322,Tábor
2323,Tábor
2324,Tábor
2325,Tábor
2326,Tábor
2327,Tábor
2328,Tábor
2329,Tábor
2330,Hradec Králové
2331,Hlavní město Praha
2332,Brno-město
2333,Brno-město
2334,Brno-město
2335,Brno-město
2336,Mělník
2337,Mělník
2338,Mělník
2339,NA
2340,NA
2341,NA
2342,NA
2343,NA
2344,NA
2345,NA
2346,NA
2347,NA
2348,Ústí nad Orlicí
2349,NA
2350,Most
2351,Frýdek-Místek
2352,"Plzeň-jih
 Pelhřimov"
2353,"Plzeň-jih
 Pelhřimov"
2354,NA
2355,NA
2356,NA
2357,Kladno
2358,Kladno
2359,Kladno
2360,NA
2361,Hlavní město Praha
2362,NA
2363,NA
2364,NA
2365,Pelhřimov
2366,Pelhřimov
2367,Pelhřimov
2368,"Jičín
 Mladá Boleslav"
2369,Hlavní město Praha
2370,Pelhřimov
2371,Ústí nad Orlicí
2372,Ústí nad Orlicí
2373,Plzeň-město
2374,Plzeň-město
2375,NA
2376,NA
2377,NA
2378,Hradec Králové
2379,Hradec Králové
2380,Hradec Králové
2381,Hradec Králové
2382,Nymburk
2383,Svitavy
2384,Pardubice
2385,"Zlín
 Brno-venkov"
2386,"Zlín
 Brno-venkov"
2387,Pardubice
2388,Pardubice
2389,Pardubice
2390,Pardubice
2391,Mladá Boleslav
2392,České Budějovice
2393,Hradec Králové
2394,Cheb
2395,Chomutov
2396,Chomutov
2397,Chomutov
2398,Chomutov
2399,Chomutov
2400,"Jičín
 Mladá Boleslav"
2401,Chrudim
2402,Cheb
2403,Cheb
2404,Cheb
2405,Cheb
2406,Cheb
2407,Cheb
2408,Cheb
2409,Cheb
2410,Hlavní město Praha
2411,NA
2412,NA
2413,NA
2414,NA
2415,NA
2416,NA
2417,NA
2418,NA
2419,NA
2420,NA
2421,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
2422,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
2423,Trutnov
2424,Trutnov
2425,Trutnov
2426,Trutnov
2427,Trutnov
2428,Trutnov
2429,Trutnov
2430,Trutnov
2431,Trutnov
2432,Trutnov
2433,Trutnov
2434,Trutnov
2435,Trutnov
2436,Trutnov
2437,Most
2438,NA
2439,NA
2440,"Kladno
   Pardubice
 Plzeň-sever
     Olomouc
      Náchod
     Klatovy"
2441,"Kladno
   Pardubice
 Plzeň-sever
     Olomouc
      Náchod
     Klatovy"
2442,Semily
2443,Hlavní město Praha
2444,Hlavní město Praha
2445,Hlavní město Praha
2446,Hlavní město Praha
2447,Hlavní město Praha
2448,Most
2449,NA
2450,Brno-město
2451,Hlavní město Praha
2452,NA
2453,NA
2454,NA
2455,NA
2456,Plzeň-město
2457,Plzeň-město
2458,Plzeň-město
2459,Plzeň-město
2460,Brno-město
2461,Brno-město
2462,Brno-město
2463,NA
2464,Třebíč
2465,Třebíč
2466,Kolín
2467,Jičín
2468,Jičín
2469,NA
2470,NA
2471,NA
2472,NA
2473,Znojmo
2474,Chomutov
2475,Chomutov
2476,Chomutov
2477,Chomutov
2478,Chomutov
2479,Chomutov
2480,"Brno-venkov
 Praha-východ"
2481,České Budějovice
2482,České Budějovice
2483,Pardubice
2484,Pardubice
2485,Pardubice
2486,Pardubice
2487,NA
2488,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
2489,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
2490,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
2491,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
2492,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
2493,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
2494,NA
2495,Hlavní město Praha
2496,Hlavní město Praha
2497,Hlavní město Praha
2498,Hlavní město Praha
2499,Hlavní město Praha
2500,Hlavní město Praha
2501,Hlavní město Praha
2502,Hlavní město Praha
2503,Kladno
2504,"České Budějovice
      Brno-venkov"
2505,"České Budějovice
      Brno-venkov"
2506,"České Budějovice
      Brno-venkov"
2507,"České Budějovice
      Brno-venkov"
2508,Brno-město
2509,Náchod
2510,Náchod
2511,Náchod
2512,Náchod
2513,Strakonice
2514,Strakonice
2515,Strakonice
2516,Strakonice
2517,NA
2518,NA
2519,NA
2520,Hlavní město Praha
2521,Karlovy Vary
2522,NA
2523,NA
2524,NA
2525,NA
2526,NA
2527,NA
2528,NA
2529,NA
2530,NA
2531,NA
2532,Karviná
2533,Ústí nad Orlicí
2534,Ostrava-město
2535,Hradec Králové
2536,Hradec Králové
2537,NA
2538,NA
2539,NA
2540,NA
2541,NA
2542,NA
2543,Karlovy Vary
2544,Karlovy Vary
2545,Hlavní město Praha
2546,"Jindřichův Hradec
        Česká Lípa"
2547,Plzeň-město
2548,Plzeň-město
2549,Plzeň-město
2550,NA
2551,NA
2552,NA
2553,NA
2554,Zlín
2555,České Budějovice
2556,Frýdek-Místek
2557,Frýdek-Místek
2558,Frýdek-Místek
2559,Frýdek-Místek
2560,Frýdek-Místek
2561,Hlavní město Praha
2562,Hlavní město Praha
2563,Hlavní město Praha
2564,"Rychnov nad Kněžnou
          Strakonice"
2565,"Rychnov nad Kněžnou
          Strakonice"
2566,Most
2567,Náchod
2568,NA
2569,Žďár nad Sázavou
2570,"Blansko
 Benešov"
2571,"Blansko
 Benešov"
2572,Hlavní město Praha
2573,Třebíč
2574,Třebíč
2575,Třebíč
2576,Třebíč
2577,Třebíč
2578,Třebíč
2579,Cheb
2580,Cheb
2581,Kutná Hora
2582,Chrudim
2583,NA
2584,Ostrava-město
2585,Blansko
2586,Blansko
2587,Blansko
2588,České Budějovice
2589,České Budějovice
2590,NA
2591,NA
2592,Vsetín
2593,Hlavní město Praha
2594,Tábor
2595,Tábor
2596,Tábor
2597,Tábor
2598,Hlavní město Praha
2599,"Chrudim
  Kladno"
2600,Hlavní město Praha
2601,Hlavní město Praha
2602,Hlavní město Praha
2603,Hlavní město Praha
2604,"České Budějovice
         Rokycany"
2605,Brno-město
2606,Mělník
2607,"Jičín
 Mladá Boleslav"
2608,Jihlava
2609,Jičín
2610,Plzeň-město
2611,Plzeň-město
2612,Hradec Králové
2613,Plzeň-město
2614,Hlavní město Praha
2615,Cheb
2616,Chrudim
2617,Hlavní město Praha
2618,Hlavní město Praha
2619,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
2620,NA
2621,NA
2622,NA
2623,Semily
2624,NA
2625,Svitavy
2626,NA
2627,NA
2628,NA
2629,NA
2630,Brno-město
2631,Jičín
2632,NA
2633,Karviná
2634,Plzeň-jih
2635,Hlavní město Praha
2636,Plzeň-město
2637,Mladá Boleslav
2638,Louny
2639,Louny
2640,Frýdek-Místek
2641,Frýdek-Místek
2642,Frýdek-Místek
2643,Frýdek-Místek
2644,Náchod
2645,NA
2646,NA
2647,NA
2648,Cheb
2649,Cheb
2650,Cheb
2651,Hlavní město Praha
2652,Hlavní město Praha
2653,Plzeň-město
2654,České Budějovice
2655,"Svitavy
          Bruntál
    Frýdek-Místek
          Šumperk
 Uherské Hradiště"
2656,"Svitavy
          Bruntál
    Frýdek-Místek
          Šumperk
 Uherské Hradiště"
2657,NA
2658,Ústí nad Orlicí
2659,Ústí nad Orlicí
2660,Ústí nad Orlicí
2661,Chrudim
2662,Chrudim
2663,Chrudim
2664,Most
2665,Frýdek-Místek
2666,Tábor
2667,Tábor
