NAZEV,OKRES,KRAJ
Cekov,Rokycany,Plzeňský kraj
Cep,Jindřichův Hradec,Jihočeský kraj
Cerekvice nad Bystřicí,Jičín,Královéhradecký kraj
Cerekvice nad Loučnou,Svitavy,Pardubický kraj
Cerekvička-Rosice,Jihlava,Kraj Vysočina
Cerhenice,Kolín,Středočeský kraj
Cerhonice,Písek,Jihočeský kraj
Cerhovice,Beroun,Středočeský kraj
Cetechovice,Kroměříž,Zlínský kraj
Cetenov,Liberec,Liberecký kraj
Cetkovice,Blansko,Jihomoravský kraj
Cetoraz,Pelhřimov,Kraj Vysočina
Cetyně,Příbram,Středočeský kraj
Chabařovice,Ústí nad Labem,Ústecký kraj
Chabeřice,Kutná Hora,Středočeský kraj
Chaloupky,Beroun,Středočeský kraj
Chanovice,Klatovy,Plzeňský kraj
Charvatce,Mladá Boleslav,Středočeský kraj
Charváty,Olomouc,Olomoucký kraj
Chbany,Chomutov,Ústecký kraj
Cheb,Cheb,Karlovarský kraj
Chelčice,Strakonice,Jihočeský kraj
Cheznovice,Rokycany,Plzeňský kraj
Chlebičov,Opava,Moravskoslezský kraj
Chleby,Benešov,Středočeský kraj
Chleby,Nymburk,Středočeský kraj
Chleny,Rychnov nad Kněžnou,Královéhradecký kraj
Chlistov,Klatovy,Plzeňský kraj
Chlum,Třebíč,Kraj Vysočina
Chlum,Rokycany,Plzeňský kraj
Chlum,Plzeň-jih,Plzeňský kraj
Chlum,Česká Lípa,Liberecký kraj
Chlum,Strakonice,Jihočeský kraj
Chlum,Benešov,Středočeský kraj
Chlum Svaté Maří,Sokolov,Karlovarský kraj
Chlum u Třeboně,Jindřichův Hradec,Jihočeský kraj
Chlum-Korouhvice,Žďár nad Sázavou,Kraj Vysočina
Chlumany,Prachatice,Jihočeský kraj
Chlumec,Ústí nad Labem,Ústecký kraj
Chlumec,Český Krumlov,Jihočeský kraj
Chlumec nad Cidlinou,Hradec Králové,Královéhradecký kraj
Chlumek,Žďár nad Sázavou,Kraj Vysočina
Chlumy,Plzeň-jih,Plzeňský kraj
Chlumčany,Louny,Ústecký kraj
Chlumčany,Plzeň-jih,Plzeňský kraj
Chlumětín,Žďár nad Sázavou,Kraj Vysočina
Chlumín,Mělník,Středočeský kraj
Chlustina,Beroun,Středočeský kraj
Chlístov,Třebíč,Kraj Vysočina
Chlístov,Rychnov nad Kněžnou,Královéhradecký kraj
Chlístov,Benešov,Středočeský kraj
Chlístovice,Kutná Hora,Středočeský kraj
Chmelná,Benešov,Středočeský kraj
Chmelík,Svitavy,Pardubický kraj
Chobot,Strakonice,Jihočeský kraj
Chocenice,Plzeň-jih,Plzeňský kraj
Chocerady,Benešov,Středočeský kraj
Choceň,Ústí nad Orlicí,Pardubický kraj
Chocnějovice,Mladá Boleslav,Středočeský kraj
Chocomyšl,Domažlice,Plzeňský kraj
Chodouny,Litoměřice,Ústecký kraj
Chodouň,Beroun,Středočeský kraj
Chodov,Domažlice,Plzeňský kraj
Chodov,Karlovy Vary,Karlovarský kraj
Chodov,Sokolov,Karlovarský kraj
Chodovlice,Litoměřice,Ústecký kraj
Chodová Planá,Tachov,Plzeňský kraj
Chodská Lhota,Domažlice,Plzeňský kraj
Chodský Újezd,Tachov,Plzeňský kraj
Cholenice,Jičín,Královéhradecký kraj
Cholina,Olomouc,Olomoucký kraj
Choltice,Pardubice,Pardubický kraj
Chomle,Rokycany,Plzeňský kraj
Chomutice,Jičín,Královéhradecký kraj
Chomutov,Chomutov,Ústecký kraj
Chomýž,Kroměříž,Zlínský kraj
Choratice,Benešov,Středočeský kraj
Chornice,Svitavy,Pardubický kraj
Chorušice,Mělník,Středočeský kraj
Choryně,Vsetín,Zlínský kraj
Choteč,Pardubice,Pardubický kraj
Choteč,Praha-západ,Středočeský kraj
Choteč,Jičín,Královéhradecký kraj
Chotilsko,Příbram,Středočeský kraj
Chotiměř,Litoměřice,Ústecký kraj
Chotiněves,Litoměřice,Ústecký kraj
Chotovice,Svitavy,Pardubický kraj
Chotovice,Česká Lípa,Liberecký kraj
Chotoviny,Tábor,Jihočeský kraj
Chotusice,Kutná Hora,Středočeský kraj
Chotutice,Kolín,Středočeský kraj
Chotyně,Liberec,Liberecký kraj
Chotěboř,Havlíčkův Brod,Kraj Vysočina
Chotěbudice,Třebíč,Kraj Vysočina
Chotěbuz,Karviná,Moravskoslezský kraj
Chotěmice,Tábor,Jihočeský kraj
Chotěnov,Svitavy,Pardubický kraj
Chotětov,Mladá Boleslav,Středočeský kraj
Chotěvice,Trutnov,Královéhradecký kraj
Chotěšice,Nymburk,Středočeský kraj
Chotěšov,Plzeň-jih,Plzeňský kraj
Chotěšov,Litoměřice,Ústecký kraj
Chotíkov,Plzeň-sever,Plzeňský kraj
Chotýšany,Benešov,Středočeský kraj
Chotýčany,České Budějovice,Jihočeský kraj
Choustník,Tábor,Jihočeský kraj
Choustníkovo Hradiště,Trutnov,Královéhradecký kraj
Choťovice,Kolín,Středočeský kraj
Choťánky,Nymburk,Středočeský kraj
Chožov,Louny,Ústecký kraj
Chraberce,Louny,Ústecký kraj
Chrast,Chrudim,Pardubický kraj
Chrastava,Liberec,Liberecký kraj
Chrastavec,Svitavy,Pardubický kraj
Chrastavice,Domažlice,Plzeňský kraj
Chraštice,Příbram,Středočeský kraj
Chrbonín,Tábor,Jihočeský kraj
Chroboly,Prachatice,Jihočeský kraj
Chromeč,Šumperk,Olomoucký kraj
Chropyně,Kroměříž,Zlínský kraj
Chroustov,Nymburk,Středočeský kraj
Chroustovice,Chrudim,Pardubický kraj
Chrtníky,Pardubice,Pardubický kraj
Chrtníč,Havlíčkův Brod,Kraj Vysočina
Chrudichromy,Blansko,Jihomoravský kraj
Chrudim,Chrudim,Pardubický kraj
Chrustenice,Beroun,Středočeský kraj
Chržín,Kladno,Středočeský kraj
Chrást,Plzeň-město,Plzeňský kraj
Chrást,Nymburk,Středočeský kraj
Chrást,Příbram,Středočeský kraj
Chrášťany,České Budějovice,Jihočeský kraj
Chrášťany,Praha-západ,Středočeský kraj
Chrášťany,Benešov,Středočeský kraj
Chrášťany,Kolín,Středočeský kraj
Chrášťany,Rakovník,Středočeský kraj
Chrášťovice,Strakonice,Jihočeský kraj
Chuchelna,Semily,Liberecký kraj
Chuchelná,Opava,Moravskoslezský kraj
Chudenice,Klatovy,Plzeňský kraj
Chudenín,Klatovy,Plzeňský kraj
Chuderov,Ústí nad Labem,Ústecký kraj
Chudeřice,Hradec Králové,Královéhradecký kraj
Chudoslavice,Litoměřice,Ústecký kraj
Chudčice,Brno-venkov,Jihomoravský kraj
Chudíř,Mladá Boleslav,Středočeský kraj
Chvalatice,Znojmo,Jihomoravský kraj
Chvaletice,Pardubice,Pardubický kraj
Chvaleč,Trutnov,Královéhradecký kraj
Chvalkovice,Vyškov,Jihomoravský kraj
Chvalkovice,Náchod,Královéhradecký kraj
