,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
0,"Škoda Fabia, 1.4 TDI  Elegance Combi",2007,65 000 Kč,270 723 km,"Nafta, 59 kW",Manuální,kombi,Středočeský
1,"Hyundai i20, 1.2 koup v ČR",2012,99 000 Kč,89 449 km,"Benzín, 57 kW",,hatchback,Středočeský
2,"Jeep Compass, 1,4 i 103kW nové CZ odpoč.DP",,319 000 Kč,52 084 km,"Benzín, 103 kW",Manuální,SUV,Jihočeský
3,"Škoda Superb, 2.0 TDi Style+",2015,433 000 Kč,173 708 km,"Nafta, 140 kW",Manuální,limuzína,Středočeský
4,"Peugeot 206, 1.4 55kW",2004,33 300 Kč,190 780 km,"Benzín, 55 kW",,hatchback,Karlovarský
5,"Renault Scenic, 1.5dCi 78kW navigace",2009,99 900 Kč,160 589 km,"Nafta, 78 kW",Manuální,MPV,Liberecký
6,"Opel Frontera, 2.2 DTI LIMITED, VŮZ PO RENOV",2002,119 000 Kč,227 000 km,"Nafta, 85 kW",Manuální,terénní,Praha
7,"Renault Megane, 1.6i,ČR.,1.MAJ.,SERVISKA",2007,59 000 Kč,213 000 km,"Benzín, 82 kW",Manuální,kombi,Praha
8,"Jeep Wrangler, 2.8CRD SAHARA UNLIMITED/ZÁRUK",2014,689 000 Kč,141 065 km,"Nafta, 147 kW",Manuální,pick up,Praha
9,"Fiat Punto, 1.2i 51kW,STK 12/2023",2011,114 900 Kč,83 758 km,"Benzín, 51 kW",Manuální,hatchback,Plzeňský
10,"Opel Insignia, 2,0d 118 kw",2009,125 000 Kč,215 000 km,"Nafta, 118 kW",Manuální,kombi,Plzeňský
11,"Dacia Ostatní, 77 kW",2010,169 000 Kč,83 000 km,"Benzín, 77 kW",Manuální,SUV,Plzeňský
12,"Škoda Fabia, II Kombi 1.4 16V",2011,134 900 Kč,93 078 km,"Benzín, 63 kW",Manuální,kombi,Moravskoslezský
13,"Škoda Felicia, 1.3 LXi 1MAJ. ČR. Top stav",1998,43 900 Kč,74 088 km,"Benzín, 50 kW",Manuální,hatchback,Moravskoslezský
14,"Škoda Octavia, II Kombi 1.9 TDi DSG",2009,154 900 Kč,226 521 km,"Nafta, 77 kW",Automatická,kombi,Moravskoslezský
15,"Renault Koleos, 2,0DCi 4X4  AUTOMAT   ČR",2012,198 000 Kč,149 911 km,"Nafta, 110 kW",Automatická,SUV,Praha
16,"Mercedes-Benz Třída C, 250 CDI AMG",2015,659 999 Kč,168 000 km,"Nafta, 150 kW",Automatická,sedan,Královéhradecký
17,"Škoda Fabia, 1.9 TDI",2002,59 999 Kč,345 000 km,"Nafta, 74 kW",Manuální,kombi,Královéhradecký
18,"Audi S3, QUATTRO 300ps 408n.m",2008,219 999 Kč,266 100 km,"Benzín, 195 kW",Manuální,hatchback,Královéhradecký
19,"Citroen C4, 1,6 HDI",2005,59 999 Kč,158 000 km,"Nafta, 66 kW",Manuální,hatchback,Královéhradecký
20,"Seat Alhambra, 1.9 TDI 81KW 7-MÍST NOVÁ STK",1998,44 999 Kč,204 000 km,"Nafta, 81 kW",Manuální,kombi,Královéhradecký
21,"Mercedes-Benz Třída A, 180 CDI Classic",2005,99 999 Kč,199 000 km,"Nafta, 80 kW",Manuální,MPV,Královéhradecký
22,"Škoda Fabia, 1.2 TSI 63kW  Servisní kniha",2013,149 000 Kč,85 385 km,"Benzín, 63 kW",Manuální,kombi,Ústecký
23,"Škoda Fabia, 1.4 MPI Combi/ TAŽNÉ",2003,64 900 Kč,146 813 km,"Benzín, 50 kW",,kombi,Pardubický
24,"Volkswagen Golf, 1.4 TSI Comfortline",2009,164 900 Kč,126 737 km,"Benzín, 90 kW",Manuální,hatchback,Pardubický
25,"Škoda Fabia, 1.4 MPI Combi",2001,50 000 Kč,143 592 km,"Benzín, 50 kW",,kombi,Pardubický
26,"Bentley Ostatní, 6.0 W12, 55.000 km",2014,1 649 990 Kč,64 500 km,"Benzín, 460 kW",Automatická,sedan,Středočeský
27,"Volkswagen Multivan, 2.0 TDI, DSG, 180 PS, Team",2011,499 990 Kč,126 000 km,"Nafta, 132 kW",Automatická,MPV,Středočeský
28,"Dodge RAM, 1500 5.7Hemi, 4x4, 6. míst ,",2013,639 990 Kč,181 355 km,"Benzín, 291 kW",Automatická,pick up,Středočeský
29,"Ford Mustang, GT 5.0 V8, Manuál",2016,699 990 Kč,58 600 km,"Benzín, 310 kW",Manuální,kupé,Středočeský
30,"Mazda CX-3, 2.0i SkyActive 23 000KM",2017,429 000 Kč,23 000 km,"Benzín, 88 kW",Manuální,SUV,Praha
31,"Honda HR-V, 1.6i 4x4",1999,59 000 Kč,255 000 km,"Benzín, 77 kW",Manuální,SUV,Praha
32,"BMW Řada 7, 750i xDrive ALPINA",2009,759 000 Kč,143 000 km,"Benzín, 352 kW",Automatická,limuzína,Praha
33,"Renault Clio, 1.2i 16V EDITION",2018,259 000 Kč,26 000 km,"Benzín, 54 kW",Manuální,hatchback,Vysočina
34,"Chevrolet Spark, 0.8i",2006,59 000 Kč,25 205 km,"Benzín, 38 kW",Manuální,hatchback,Liberecký
35,"Škoda Octavia, 1.6 TDI Ambiente",2010,139 000 Kč,249 000 km,"Nafta, 77 kW",Manuální,kombi,Liberecký
36,"Volkswagen Golf, 1.4 TSi naj. 120 tis. km",2010,189 000 Kč,120 039 km,"Benzín, 90 kW",Manuální,hatchback,Zlínský
37,"Mercedes-Benz GLA, 220 4M-AMG-ISP-TOP-VÝB-CZ",2017,849 000 Kč,35 500 km,"Benzín, 135 kW",Automatická,hatchback,Praha
38,"Ford F150, 5.4i V8 LPG / LARIAT TRITON",2005,199 900 Kč,132 500 km,"Benzín, 220 kW",Automatická,pick up,Praha
39,"Citroen Ostatní, 2.0 HDI 16V 100 KW / 7 MÍST.",2009,78 000 Kč,303 600 km,"Nafta, 100 kW",Automatická,kombi,Praha
40,"Volkswagen Passat, 2.0 TDI 103kW BMT Comfortline",2014,258 800 Kč,209 500 km,"Nafta, 103 kW",Manuální,kombi,Olomoucký
41,"Mitsubishi Colt, 1,1i klima,serviska,2x kola",2007,56 600 Kč,175 000 km,"Benzín, 55 kW",Manuální,hatchback,Jihočeský
42,"Volkswagen Golf Plus, 1.6 TDi 77 KW NAVI Tempomat Z�",2013,228 000 Kč,114 901 km,"Nafta, 77 kW",Manuální,hatchback,Jihočeský
43,"Volkswagen Touran, 2.0 TDI 103 kW Navigace Záruk",2012,268 000 Kč,178 882 km,"Nafta, 103 kW",Manuální,MPV,Jihočeský
44,"Škoda Yeti, 1.2TSI 77kW DSG NAVI TAŽ Zár",2010,188 000 Kč,198 814 km,"Benzín, 77 kW",Automatická,SUV,Jihočeský
45,"Volkswagen Tiguan, 2.0 TDi Dsg 4Motion Záruka",2013,398 000 Kč,108 206 km,"Nafta, 103 kW",Automatická,SUV,Jihočeský
46,"Volkswagen Touran, 2.0TDi",2007,119 900 Kč,272 000 km,"Nafta, 103 kW",Manuální,MPV,Praha
47,"Hyundai i40, 1.7CRDi,Panorama,Serv.kn.ČR",2015,299 900 Kč,134 396 km,"Nafta, 104 kW",Manuální,sedan,Praha
48,"Ford Mustang, 2.3 EcoBoost 233kw",2017,589 900 Kč,53 000 km,"Benzín, 233 kW",Automatická,kabriolet,Praha
49,"Citroen C3, 1.4i KLIMA CNG+BENZÍN",2009,49 900 Kč,147 000 km,"Benzín, 54 kW",Manuální,hatchback,Středočeský
50,"Ford Ostatní, 2.2 TDCI TITANIUM",2014,427 000 Kč,248 000 km,"Nafta, 92 kW",Manuální,kombi,Středočeský
51,"Ford Transit Custom, 2.2 TDCI KLIMA 9 MÍST",2014,339 000 Kč,259 000 km,"Nafta, 74 kW",Manuální,kombi,Středočeský
52,"Volkswagen Multivan, T5 2.5 TDI 7MÍST",2004,253 000 Kč,299 000 km,"Nafta, 96 kW",Manuální,MPV,Středočeský
53,"Ford Transit Custom, 2.2 TDCI KLIMA 9 MÍST",2015,359 000 Kč,246 000 km,"Nafta, 74 kW",Manuální,kombi,Středočeský
54,"Peugeot 106, 1,0i",2001,12 500 Kč,125 225 km,"Benzín, 37 kW",Manuální,hatchback,Jihočeský
55,"Škoda Rapid, 1.2 TSi navigace/vyhř.sedadla",2014,188 900 Kč,194 674 km,"Benzín, 63 kW",Manuální,hatchback,Jihomoravský
56,"Volkswagen Golf, 2.0 TDi 6 rychlostí/klimatiza",2007,84 900 Kč,236 241 km,"Nafta, 103 kW",Manuální,hatchback,Jihomoravský
57,"Ford Mondeo, 2,0Tdci Titanium 103kw",2008,109 000 Kč,225 900 km,"Nafta, 103 kW",Manuální,kombi,Ústecký
58,"BMW Řada 3, 330ci 170kw automat",2002,150 000 Kč,186 500 km,"Benzín, 170 kW",Automatická,kupé,Ústecký
59,"Volkswagen Touran, 2.0TDi 103KW DSG",2010,134 000 Kč,274 800 km,"Nafta, 103 kW",Automatická,hatchback,Pardubický
60,"Škoda Fabia, 1.2 TSi 63Kw",2010,119 000 Kč,169 900 km,"Benzín, 63 kW",Manuální,kombi,Pardubický
61,"Volkswagen Multivan, 2.0 BiTDi Highline 4motion",2012,619 000 Kč,137 700 km,"Nafta, 132 kW",Automatická,VAN,Pardubický
62,"Audi A4, 2,0 TDI 103KW",2005,99 000 Kč,246 500 km,"Nafta, 103 kW",Manuální,sedan,Pardubický
63,"Mazda 3, 1.6Mzr-cd 80KW Motor KO",2005,7 000 Kč,192 200 km,"Nafta, 80 kW",Manuální,hatchback,Pardubický
64,"Škoda Octavia, 2.0 TDI PD Elegance",2005,69 000 Kč,315 000 km,"Nafta, 103 kW",Manuální,hatchback,
65,"Renault Megane, 1.4I",2004,29 000 Kč,199 700 km,"Benzín, 72 kW",,hatchback,
66,"Ford S-Max, 2.0i 16V Trend",2008,159 000 Kč,147 000 km,"Benzín, 107 kW",Manuální,MPV,Ústecký
67,"Volkswagen Passat, B7 2.0 TDi DSG",2011,199 000 Kč,219 000 km,"Nafta, 103 kW",Automatická,kombi,Ústecký
68,"Citroen C4 Picasso, Grant 7 Míst  1.8i 16V",2007,95 000 Kč,127 000 km,"Benzín, 92 kW",,MPV,Ústecký
69,"Volkswagen Passat, B6 2.0 TDi DSG",2008,99 000 Kč,217 000 km,"Nafta, 103 kW",Automatická,kombi,Ústecký
70,"Volkswagen Touran, 1.9 TDi 7 míst",2005,79 000 Kč,217 000 km,"Nafta, 77 kW",,MPV,Ústecký
71,"Ford S-Max, 2.0 TDCi",2007,99 000 Kč,215 000 km,"Nafta, 103 kW",Manuální,MPV,Ústecký
72,"Škoda Octavia, II 2.0 TDi",2006,89 000 Kč,188 000 km,"Nafta, 103 kW",Manuální,kombi,Ústecký
73,"Volkswagen Sharan, 2.0 TDi PD",2008,119 000 Kč,222 000 km,"Nafta, 103 kW",Manuální,MPV,Ústecký
74,"Ford Mondeo, III 1.6i 16V",2008,109 000 Kč,147 000 km,"Benzín, 92 kW",Manuální,kombi,Ústecký
75,"Seat Alhambra, 1.9 TDi Automat",2005,99 000 Kč,198 000 km,"Nafta, 85 kW",Automatická,MPV,Ústecký
76,"Suzuki SX4, 1.6i 16V 4x4",2008,85 000 Kč,202 000 km,"Benzín, 79 kW",,hatchback,Ústecký
77,"Mercedes-Benz Třída C, C 220",2001,59 000 Kč,239 000 km,"Nafta, 105 kW",,kupé,Ústecký
78,"Volkswagen Golf, IV 1.9 TDi PD Edition",2001,49 000 Kč,323 000 km,"Nafta, 74 kW",,hatchback,Ústecký
79,"Škoda Octavia, 1.9 TDi Classic",2004,49 000 Kč,297 000 km,"Nafta, 81 kW",,kombi,Ústecký
80,"Citroen C5, 2.2 HDI 200 Exclusive AT",2013,245 000 Kč,148 700 km,"Nafta, 150 kW",Automatická,sedan,Ústecký
81,"Citroen C5, 2.0 HDi",2003,39 000 Kč,207 000 km,"Nafta, 79 kW",,hatchback,Ústecký
82,"Citroen C2, 1.1i",2006,25 000 Kč,133 000 km,"Benzín, 44 kW",,hatchback,Ústecký
83,"Volkswagen Touran, 1.6i 16V Trendline",2004,75 000 Kč,205 000 km,"Benzín, 75 kW",,MPV,Ústecký
84,"Opel Corsa, 1.2 16V Elegance",2001,19 000 Kč,103 000 km,"Benzín, 55 kW",,hatchback,Ústecký
85,"Kia Soul, 1,6 EcoDynamic, DPH, STK",2012,148 000 Kč,80 015 km,"Benzín, 103 kW",Manuální,MPV,Moravskoslezský
86,"Škoda Ostatní, 2.0 Bi-TDI 176 kW RS 4x4 DSG",2019,1 090 000 Kč,67 733 km,"Nafta, 176 kW",Automatická,SUV,Moravskoslezský
87,"Škoda Fabia, 1.2 TSi 66kW, 2.majitel, servi",2016,228 999 Kč,62 500 km,"Benzín, 66 kW",Manuální,hatchback,Jihočeský
88,"Renault Scenic, III 1,6i 16V,57000km,ALU,KLIMA",2011,175 000 Kč,57 090 km,"Benzín, 81 kW",Manuální,MPV,Plzeňský
89,"Kia Picanto, 1.0i klima",2012,90 000 Kč,112 539 km,"Benzín, 50 kW",Manuální,hatchback,Liberecký
90,"Opel Insignia, SportsTOURER 2.0CDTi",2011,179 000 Kč,176 081 km,"Nafta, 118 kW",Manuální,kombi,Ústecký
91,"Volkswagen Sharan, 2.0TDi 125kW DSG,REZERVACE",2013,419 000 Kč,151 276 km,"Nafta, 125 kW",Automatická,MPV,Ústecký
92,"Škoda Fabia, 1.2 TSI  Koupeno v CZ,Serviska",2010,119 000 Kč,88 000 km,"Benzín, 63 kW",Manuální,hatchback,Vysočina
93,"Škoda Fabia, 1.2 TSI Klima",2011,139 000 Kč,142 000 km,"Benzín, 63 kW",Manuální,hatchback,Vysočina
94,"Volkswagen Touareg, 3.0 TDI V6  Tiptronic 4x4",2012,429 999 Kč,256 000 km,"Nafta, 150 kW",Automatická,SUV,Vysočina
95,"Ford Kuga, 2.0 TDCi TOP",2014,319 000 Kč,171 000 km,"Nafta, 103 kW",Manuální,SUV,Vysočina
96,"Škoda Fabia, 1.2 TSi Velmi pěkná",2012,149 000 Kč,163 000 km,"Benzín, 63 kW",Manuální,kombi,Vysočina
97,"Škoda Octavia, 2.0 TDI 110 kW TOP",2014,299 999 Kč,127 999 km,"Nafta, 110 kW",Manuální,kombi,Vysočina
98,"Mercedes-Benz Ostatní, 230 80KW Pěkný stav",1979,180 000 Kč,120 200 km,"Benzín, 80 kW",Automatická,limuzína,Středočeský
99,"Mercedes-Benz Ostatní, 230 80KW Pěkný stav",1979,180 000 Kč,120 200 km,"Benzín, 80 kW",Automatická,limuzína,Středočeský
100,"Škoda Roomster, 1.2 51 kW KLIMA Panorama",2008,89 900 Kč,152 935 km,"Benzín, 51 kW",Manuální,kombi,Královéhradecký
101,"Škoda Fabia, 1.2 44 kW KLIMA Serviska",2008,89 900 Kč,159 022 km,"Benzín, 44 kW",Manuální,hatchback,Královéhradecký
102,"Subaru Outback, 3,6 R Limited",2018,1 099 000 Kč,37 000 km,"Benzín, 188 kW",Automatická,kombi,Praha
103,"Audi RS6, 40 TSFi, AVANT, 445 kW",2018,2 089 000 Kč,40 000 km,"Benzín, 445 kW",Automatická,kombi,Praha
104,"Ford Mustang, GT,V8,záruka,cabrio",2019,1 280 000 Kč,20 500 km,"Benzín, 331 kW",Automatická,kabriolet,Praha
105,"Ford Fusion, 1,4 16v",,79 900 Kč,136 675 km,"Benzín, 59 kW",Manuální,hatchback,Vysočina
106,"Opel Vectra, OPC 2.8 24v",,169 900 Kč,266 960 km,"Benzín, 206 kW",Automatická,VAN,Vysočina
107,"Mercedes-Benz Třída C, C200 CDI 100kW",2011,199 900 Kč,268 284 km,"Nafta, 100 kW",Automatická,kombi,Pardubický
108,"Audi A4, 2.0 TDi 88kW -DPH-NAVI-TEMPO",2014,249 900 Kč,233 475 km,"Nafta, 88 kW",Manuální,kombi,Pardubický
109,"Volkswagen Tiguan, 2,0TDI 110kW DSG 4M Life tažn",2021,967 000 Kč,26 215 km,"Nafta, 110 kW",Automatická,SUV,Moravskoslezský
110,"Volkswagen Tiguan, 2,0TDI 110kW DSG 4M Life tažn",2021,967 000 Kč,25 455 km,"Nafta, 110 kW",Automatická,SUV,Moravskoslezský
111,"Volkswagen Tiguan, 2.0 TDI 110 kW 4MO DSG Life ta",2021,967 000 Kč,20 414 km,"Nafta, 110 kW",Automatická,SUV,Moravskoslezský
112,"Volkswagen Ostatní, 2,0TDI 110kW DSG Matrix  táž",2020,939 000 Kč,25 800 km,"Nafta, 110 kW",Automatická,kombi,Moravskoslezský
113,"Škoda Yeti, 1.2 TSi, DSG",2010,199 990 Kč,110 511 km,"Benzín, 77 kW",Automatická,SUV,Plzeňský
114,"Citroen C5, 2.0 HDi, S.kniha, Navigace",2014,199 990 Kč,224 938 km,"Nafta, 103 kW",Manuální,kombi,Plzeňský
115,"Citroen C1, 1.0i",2011,79 990 Kč,138 886 km,"Benzín, 50 kW",Manuální,hatchback,Plzeňský
116,"Citroen C4 Picasso, 1,6HDi 80kW automat",2009,118 000 Kč,116 500 km,"Nafta, 80 kW",Automatická,MPV,Jihomoravský
117,"Fiat Panda, 1.2 Dynamic",2006,59 000 Kč,145 600 km,44 kW,,hatchback,Jihomoravský
118,"Škoda Fabia, 1.4i 55kW KLIMA",2005,59 000 Kč,185 178 km,"Benzín, 55 kW",Manuální,hatchback,Královéhradecký
119,"Ford C-Max, TREND 1.6TDCi 80kW",2008,84 000 Kč,179 186 km,"Nafta, 80 kW",Manuální,MPV,Královéhradecký
120,"Ford Mondeo, Turnier 1.6TDCi 85kW  TOP STAV",2015,249 000 Kč,178 329 km,"Nafta, 85 kW",Manuální,kombi,Královéhradecký
121,"Mazda CX-7, 2.2 CD NAVI",2009,169 900 Kč,108 132 km,"Nafta, 127 kW",Manuální,SUV,Plzeňský
122,"Dacia Sandero, 1.4i jen 96000 km",2009,49 900 Kč,96 745 km,"Benzín, 55 kW",Manuální,hatchback,Plzeňský
123,"Volkswagen Golf, 1.9 TDi 77kW, TOUR",2007,95 900 Kč,221 683 km,"Nafta, 77 kW",Manuální,hatchback,Ústecký
124,"Suzuki Swift, 1.2i 69kW, PĚKNÝ STAV",2012,154 900 Kč,132 582 km,"Benzín, 69 kW",Manuální,hatchback,Ústecký
125,"BMW Řada 7, 730i manual,bez koroze",1990,155 000 Kč,206 000 km,"Benzín, 138 kW",,sedan,Pardubický
126,"Ford Focus, 170 ST",2002,77 000 Kč,220 000 km,"Benzín, 127 kW",,hatchback,Vysočina
127,"Opel Astra, 1,7CDTi",2008,55 000 Kč,201 000 km,"Nafta, 92 kW",Manuální,kombi,Liberecký
128,"Peugeot 3008, 1,6 80 KW",2010,174 900 Kč,66 788 km,"Nafta, 80 kW",Manuální,MPV,Jihočeský
129,"Škoda Fabia, II Com 1.2 51kW KLIMA serviska",2009,109 900 Kč,108 733 km,"Benzín, 51 kW",Manuální,kombi,Ústecký
130,"Hyundai i30, Com 1.4 Jen 96.000 Km serviska",2011,129 900 Kč,96 600 km,"Benzín, 80 kW",Manuální,kombi,Ústecký
131,"Renault Twingo, 1.2i",2009,59 900 Kč,182 349 km,"Benzín, 43 kW",Manuální,hatchback,Středočeský
132,"Toyota Avensis, 2.2 D4D AUT.KLIMA TAŽNÉ ZAŘ",2005,69 999 Kč,236 995 km,"Nafta, 110 kW",Manuální,kombi,Praha
133,"Porsche Macan, 3.0 S ČR 1.MAJITEL ZÁRUKA-20",2019,1 649 999 Kč,18 574 km,"Benzín, 260 kW",Automatická,SUV,Praha
134,"BMW Řada 3, 320d 130kW AUTOMAT XENON SERV.",2010,149 999 Kč,247 251 km,"Nafta, 130 kW",Automatická,kombi,Praha
135,"Renault Espace, 2.0T 16V",2004,64 900 Kč,191 000 km,"Benzín, 120 kW",Automatická,MPV,Ústecký
136,"Peugeot 406, 2.0 16V",1998,89 900 Kč,78 705 km,"Benzín, 97 kW",Manuální,kupé,Ústecký
137,"Fiat Punto, EASY 1.2 8v 69k",2013,99 999 Kč,160 000 km,"Benzín, 51 kW",Manuální,hatchback,Ústecký
138,"Renault Clio, 1.2i",2003,35 900 Kč,131 637 km,"Benzín, 55 kW",Manuální,hatchback,Ústecký
139,"Škoda Octavia, 1.6i 75KW KLIMA",2003,55 000 Kč,253 787 km,"Benzín, 75 kW",Manuální,kombi,Ústecký
140,"Volkswagen Golf, 1.9TDI SPECIAL",2002,54 900 Kč,277 478 km,"Nafta, 74 kW",Manuální,kombi,Ústecký
141,"Škoda Octavia, RS 2.0 TDi CHALLENGE",2015,419 900 Kč,97 221 km,"Nafta, 135 kW",Manuální,kombi,Pardubický
142,"Citroen C1, 1.0i 1. majitel, 2x kola",2008,59 000 Kč,133 811 km,"Benzín, 50 kW",Manuální,hatchback,Pardubický
143,"Volkswagen Golf, 1.4 TSI GT 210hp ABT",2006,135 000 Kč,150 064 km,"Benzín, 154 kW",Manuální,hatchback,Pardubický
144,"Peugeot 205, 1.9 GTi Gentry, 75kW",1991,199 900 Kč,281 352 km,"Benzín, 75 kW",Manuální,hatchback,Pardubický
145,"Opel Zafira, 1.8  7.MÍST",2003,39 900 Kč,183 000 km,"Benzín, 92 kW",Manuální,MPV,Královéhradecký
146,"Mercedes-Benz Třída M, 4MATIC 3.0",2009,290 000 Kč,241 126 km,"Nafta, 155 kW",Automatická,SUV,Královéhradecký
147,"Renault Scenic, 2.0i 99kw,digi klima",2007,79 900 Kč,119 370 km,"Benzín, 98 kW",Manuální,mpv,Královéhradecký
148,"Opel Astra, 1.6i LPG do 2031",2009,99 900 Kč,183 200 km,"Benzín, 85 kW",Manuální,kombi,Královéhradecký
149,"Škoda Ostatní, 2.0 TDI StylePlus 4x4 DSG KŮ�",2019,739 000 Kč,118 931 km,"Nafta, 110 kW",Automatická,SUV,Ústecký
150,"Hyundai Sonata, 2.0CRDI",2008,79 000 Kč,202 140 km,"Nafta, 110 kW",Manuální,sedan,Liberecký
151,"Renault Clio, 1,2, KLIMA, SERVISKA",2009,69 000 Kč,151 125 km,"Benzín, 55 kW",Manuální,hatchback,Ústecký
152,"Mazda 2, 1,3i 55kW 5dv.",2008,70 000 Kč,105 028 km,"Benzín, 55 kW",Manuální,hatchback,Liberecký
153,"Ford Mondeo, Turnier 2,0 TDCi 103kW",2010,155 000 Kč,210 000 km,"Nafta, 103 kW",Manuální,kombi,Liberecký
154,"Škoda Fabia, I Combi 1,2 12V",2003,25 000 Kč,225 363 km,"Benzín, 47 kW",Manuální,kombi,Liberecký
155,"Fiat 500, 1.4T ABARTH",2012,264 900 Kč,135 065 km,"Benzín, 99 kW",Manuální,hatchback,Pardubický
156,"Ford Focus, 2.0 Duratorq TDCI Titanium",2012,129 900 Kč,238 236 km,"Nafta, 85 kW",Automatická,kombi,Vysočina
157,"Volkswagen Touareg, V6 3.0 TDI R-Line",2015,689 900 Kč,168 720 km,"Nafta, 193 kW",Automatická,SUV,Vysočina
158,"Volkswagen Caddy, 1.6TDI DSG Maxi 7-Sedaček",2014,284 000 Kč,227 387 km,"Nafta, 75 kW",Manuální,kombi,Ústecký
159,"Audi A6, 3.2FSi QUATTRO ALCANTAR",2007,107 900 Kč,248 000 km,"Benzín, 188 kW",Automatická,kombi,Praha
160,"Hyundai i20, 2018 ,1 MAJITEL , CZ",2018,149 900 Kč,247 000 km,"Benzín, 55 kW",Manuální,hatchback,Praha
161,"Mercedes-Benz Třída S, S 320CDI ,LONG , TOP VÝBAVA",2007,147 900 Kč,314 000 km,"Nafta, 173 kW",Automatická,limuzína,Praha
162,"Audi Q7, 3.0TDi QUATTRO, BOSE ,",2006,179 900 Kč,273 000 km,"Nafta, 171 kW",Automatická,SUV,Praha
163,"Škoda Ostatní, alu,vyhř.sed,TOP",2016,255 007 Kč,95 415 km,"Benzín, 66 kW",Manuální,hatchback,Pardubický
164,"Škoda Ostatní, abs,klima,facelift,",2006,70 007 Kč,197 301 km,"Benzín, 55 kW",Manuální,kombi,Pardubický
165,"Seat Mii, 1,0MPi KLIMA TOP STAV",2013,116 900 Kč,62 324 km,"Benzín, 44 kW",Manuální,hatchback,Ústecký
166,"Škoda Octavia, 1,9TDi SUPER STAV,PO SERVISU",2008,99 900 Kč,299 002 km,"Nafta, 77 kW",Manuální,kombi,Ústecký
167,"Kia Carens, 2,0i PR. SERVIS,SUPER STAV",2006,84 900 Kč,166 850 km,"Benzín, 106 kW",Manuální,MPV,Ústecký
168,"Toyota Avensis, 2,0D4-D PO SERVISU,NOVÁ STK",2006,89 900 Kč,197 636 km,"Nafta, 85 kW",Manuální,liftback,Ústecký
169,"Peugeot 206, 1,4i PO SERVISU,NOVÁ STK",2006,44 900 Kč,132 423 km,"Benzín, 55 kW",Manuální,hatchback,Ústecký
170,"Citroen Berlingo, 1,6i BA+LPG,PO SERVISU",2009,134 900 Kč,231 879 km,"Benzín, 80 kW",Manuální,MPV,Ústecký
171,"Peugeot 308, 1,6i 110kW Top Stav",2010,249 999 Kč,49 000 km,"Benzín, 110 kW",Manuální,kabriolet,Jihomoravský
172,"Audi A4, 2,0TDi 105kw",2008,154 999 Kč,170 236 km,"Nafta, 105 kW",Manuální,kombi,Jihomoravský
173,"Seat Leon, 2,0 TDi+Sport",2007,59 999 Kč,161 360 km,"Nafta, 103 kW",Manuální,hatchback,Jihomoravský
174,"Renault Megane, plný servis jen renault",2010,84 999 Kč,220 000 km,"Nafta, 81 kW",Manuální,kombi,Jihomoravský
175,"Mercedes-Benz Třída A, A  2.0 CDi",2012,98 999 Kč,190 912 km,"Nafta, 80 kW",Manuální,hatchback,Jihomoravský
176,"Opel Corsa, Cosmo+LPG",2010,84 999 Kč,147 236 km,"Benzín, 59 kW",Manuální,hatchback,Jihomoravský
177,"Seat Ibiza, 1.6i NOVÉ LPG",2010,84 999 Kč,189 632 km,"Benzín, 77 kW",Manuální,hatchback,Jihomoravský
178,"Opel Corsa, 1.2i 59kW LPG",2010,84 999 Kč,147 236 km,"Benzín, 59 kW",Manuální,hatchback,Jihomoravský
179,"Mercedes-Benz Třída A, A 150 + LPG",2005,59 999 Kč,201 300 km,"Benzín, 70 kW",Manuální,hatchback,Jihomoravský
180,"Mercedes-Benz Třída A, A 150+ Bez koroze",2005,59 999 Kč,201 300 km,"Benzín, 70 kW",Manuální,hatchback,Jihomoravský
181,"Peugeot 307, 1.6 SPORT+7.MIST",2004,44 999 Kč,190 632 km,"Benzín, 80 kW",,kombi,Jihomoravský
182,"Volkswagen Touran, 2.0i 8ventil CNG",2007,129 999 Kč,217 000 km,80 kW,Manuální,MPV,Jihomoravský
183,"Renault Megane, 1.6i 77kW Bez koroze NOVÁ NÁ",2006,49 999 Kč,181 253 km,"Benzín, 77 kW",Manuální,hatchback,Jihomoravský
184,"Volkswagen Touran, 2.0i+ BEZ KOROZE",2007,129 999 Kč,217 000 km,"Benzín, 80 kW",Manuální,MPV,Jihomoravský
185,"Renault Scenic, 1.4 16V,klima",2005,64 900 Kč,114 259 km,"Benzín, 72 kW",Manuální,MPV,Jihočeský
186,"Volkswagen Fox, 1.2i",2005,44 900 Kč,127 963 km,"Benzín, 40 kW",Manuální,hatchback,Jihočeský
187,"BMW X5, 3.0d 135kW",2002,130 000 Kč,267 000 km,"Nafta, 135 kW",Automatická,kombi,Středočeský
188,"Škoda Fabia, 1.2 HTP Combi ČR klima",2004,29 000 Kč,296 000 km,"Benzín, 47 kW",Manuální,kombi,Středočeský
189,"Lincoln Aviator, 3,0 PHEV 4x4,",2020,2 501 000 Kč,10 164 km,"Hybrid, 363 kW",Manuální,suV,Moravskoslezský
190,"Citroen Berlingo, 1.8 MULTISPACE UNI",1999,35 000 Kč,121 000 km,"Benzín, 66 kW",,kombi,Moravskoslezský
191,"Ford S-Max, 2,0TDCi 120kW automat",2010,179 900 Kč,253 352 km,"Nafta, 120 kW",Automatická,MPV,Praha
