,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
5483,"Subaru Justy, 1.3i 69KW 4X4 100KM",2007,79 000 Kč,102 000 km,"Benzín, 69 kW",,hatchback,NEJNIŽŠÍ MOŽNÉ SPLÁTKY NA ÚVĚRY!!!
5484,"Volkswagen Golf, 1.6 TDi 81KW",2015,209 000 Kč,249 000 km,"Nafta, 81 kW",,kombi,NEJNIŽŠÍ MOŽNÉ SPLÁTKY NA ÚVĚRY!!!
5485,"Renault Clio, 1.6 82kW Automatická převodo",2006,89 000 Kč,139 070 km,"Benzín, 82 kW",Automatická,hatchback,Moravskoslezský
5486,"Audi A8, 3.0 250kW 55 TFSI Quattro Tipt",2018,2 178 000 Kč,67 717 km,"Benzín, 250 kW",Automatická,sedan,Moravskoslezský
5487,"Audi A4, 2.5TDI Cabriolet",2003,90 000 Kč,204 300 km,"Nafta, 120 kW",Manuální,kabriolet,Pardubický
5488,"Suzuki Swift, 1.2i 69kW 4x4",2011,164 000 Kč,157 000 km,"Benzín, 69 kW",,hatchback,Pardubický
5489,"Volkswagen Golf, 1.6 TDi  145000 Km",2012,167 000 Kč,145 000 km,"Nafta, 77 kW",Manuální,kombi,Středočeský
5490,"Hyundai ix20, 1.4 49tis. km, koup v ČR",2013,199 000 Kč,48 668 km,"Benzín, 66 kW",,kombi,Středočeský
5491,"Volkswagen Golf, 1.4 tsi",2010,178 000 Kč,193 500 km,"Benzín, 90 kW",Manuální,kombi,Moravskoslezský
5492,"Volkswagen Golf Plus, 1.2 tsi",2011,179 000 Kč,185 000 km,"Benzín, 77 kW",Manuální,hatchback,Moravskoslezský
5493,"Ford Fiesta, 1.25, 60KW, SERV.KNIHA",2010,119 000 Kč,146 000 km,"Benzín, 60 kW",Manuální,hatchback,Královéhradecký
5494,"Peugeot 307, 1.6i 1. MAJITEL ČR",2007,74 900 Kč,178 418 km,"Benzín, 80 kW",Manuální,VAN,Jihočeský
5495,"Citroen C4, 1.2 e-THP 130 Exclusive",2016,249 900 Kč,31 000 km,"Benzín, 96 kW",Manuální,hatchback,Jihočeský
5496,"Ford Ka, 1.2i TREND",2012,89 900 Kč,76 000 km,"Benzín, 51 kW",Manuální,hatchback,Jihočeský
